SampleNumber,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,Target Label
12,3.51,7.49,1.52,3.27,0.04,2.14,0.79,0.71,0,63.7,53.6,54.7,6.86,4.65,4.6,0.24,0.07,27.3,5.2,2.3,V1
13,2.72,6.84,1.35,3.01,0.06,2.23,0.73,0.67,0,43.3,42.6,42.8,11.88,8.51,8.61,0.09,0.03,20.2,0.1,1.6,V1
14,3.35,7.42,1.52,3.18,0.05,2.09,0.76,0.69,0,49.7,47.5,48.9,6.55,5.4,5.23,0.09,0.03,23.1,1.3,0.8,V1
15,3.79,8.04,1.61,3.43,0.06,2.14,0.74,0.69,0,54.5,51.7,54.7,7.4,5.85,5.58,0.27,0.07,25.5,2,-0.3,V1
16,2.56,6.59,1.44,2.74,0.06,1.9,0.74,0.65,0,56.9,51.1,51.7,11.5,8.36,7.08,0.27,0.1,25.4,3,1.9,V1
17,3.03,7.15,1.55,2.91,0.04,1.88,0.75,0.67,0,53.9,49.7,50.6,8.52,6.11,5.93,0.09,0.03,24.5,2.2,1.5,V1
18,2.84,6.96,1.43,2.92,0.06,2.05,0.74,0.68,0,47.4,46.3,47.6,11.53,8.85,9.25,0.12,0.04,22.3,0.7,0.7,V1
19,2.88,6.69,1.5,2.82,0.13,1.88,0.81,0.68,0,55.5,50.2,48.2,13.56,11.22,9.72,0.34,0.12,24.8,2.3,3.8,V1
20,3.33,7.27,1.6,3.09,0.07,1.92,0.79,0.67,0,51.6,48.3,50.1,7.25,5.51,6.19,0.03,0.01,23.7,2,0.7,V1
21,3.21,7.2,1.52,3.1,0.04,2.03,0.78,0.68,0,60.5,49.4,49.6,10.58,5.43,5.3,0.11,0.03,25.3,5.6,3.3,V1
22,3.23,7.39,1.72,2.93,0.07,1.71,0.74,0.64,0,69.6,60.9,59.7,14.75,11.25,10.22,1.9,0.59,30.5,4.2,3.3,V1
23,3.7,7.66,1.61,3.27,0.06,2.03,0.79,0.7,0,56.6,52.8,54.2,5.85,4.41,4.37,0.23,0.06,26.1,2.2,0.9,V1
24,3.26,7.37,1.52,3.18,0.08,2.09,0.75,0.67,0,59.4,54.1,54.4,7.46,6.47,6.08,0.5,0.15,26.9,2.7,2,V1
25,3.45,7.22,1.85,2.7,0.07,1.45,0.83,0.69,0,67.2,54.4,52.2,12.71,9.12,8.12,0.87,0.25,27.9,6,5.1,V1
